(1258, 703)
(1258, 666)
(1258, 629)
(1221, 703)
(1221, 666)
(1221, 629)
(1184, 703)
(1184, 703)
(1184, 666)
(1184, 666)
(1184, 629)
(1184, 592)
(1184, 555)
(1147, 703)
(1147, 666)
(1147, 666)
(1147, 629)
(1147, 592)
(1147, 555)
(1110, 703)
(1110, 666)
(1110, 666)
(1110, 629)
(1073, 703)
(1073, 666)
(1073, 666)
(1073, 629)
(1036, 703)
(1036, 666)
(1036, 666)
(1036, 629)
(999, 703)
(999, 703)
(999, 666)
(999, 666)
(999, 629)
(962, 703)
(962, 703)
(962, 666)
(962, 666)
(962, 629)
(925, 703)
(925, 666)
(925, 666)
(925, 629)
(888, 703)
(888, 666)
(888, 666)
(888, 629)
(851, 703)
(851, 666)
(851, 666)
(851, 629)
(814, 703)
(814, 703)
(814, 666)
(814, 666)
(814, 629)
(777, 703)
(777, 666)
(777, 629)
(777, 592)
(777, 555)
(740, 703)
(740, 666)
(740, 629)
(740, 592)
(740, 555)
(703, 703)
(703, 666)
(703, 629)
(666, 703)
(666, 666)
(666, 629)
(629, 703)
(629, 666)
(629, 629)
(592, 703)
(592, 666)
(592, 629)
(555, 703)
(555, 666)
(555, 629)
(518, 703)
(518, 666)
(518, 629)
(518, 407)
(518, 370)
(518, 333)
(481, 703)
(481, 666)
(481, 629)
(481, 407)
(481, 370)
(444, 703)
(444, 666)
(444, 629)
(444, 592)
(444, 555)
(444, 518)
(444, 481)
(444, 444)
(444, 407)
(444, 370)
(407, 703)
(407, 666)
(407, 629)
(407, 407)
(407, 370)
(370, 703)
(370, 666)
(370, 629)
(370, 407)
(370, 370)
(333, 703)
(333, 666)
(333, 629)
(333, 407)
(333, 370)
(296, 703)
(296, 666)
(296, 629)
(296, 407)
(296, 370)
(296, 333)
(259, 703)
(259, 666)
(259, 629)
(259, 444)
(259, 407)
(259, 370)
(222, 703)
(222, 666)
(222, 629)
(222, 444)
(222, 444)
(222, 407)
(185, 703)
(185, 666)
(185, 629)
(185, 444)
(148, 703)
(148, 666)
(148, 629)
(111, 703)
(111, 666)
(111, 629)
(74, 703)
(74, 666)
(74, 629)
(37, 703)
(37, 666)
(37, 629)
(0, 703)
(0, 666)
(0, 629)
